46168:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       1453164      117242688  [B (java.base@21.0.8)
   2:        158313       43652608  [I (java.base@21.0.8)
   3:       1400271       33606504  java.lang.String (java.base@21.0.8)
   4:        310772       25740608  [Ljava.lang.Object; (java.base@21.0.8)
   5:         28080       23792472  [J (java.base@21.0.8)
   6:        361476       17350848  java.lang.StackTraceElement (java.base@21.0.8)
   7:         90663       10610056  java.lang.Class (java.base@21.0.8)
   8:        318535       10193120  java.util.HashMap$Node (java.base@21.0.8)
   9:         15015        9261544  [Ljdk.internal.vm.FillerElement; (java.base@21.0.8)
  10:          6386        7052192  [F (java.base@21.0.8)
  11:          3151        6024208  [C (java.base@21.0.8)
  12:        134198        5367920  java.util.LinkedHashMap$Entry (java.base@21.0.8)
  13:        161182        5157824  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.8)
  14:         41861        5084536  [Ljava.util.HashMap$Node; (java.base@21.0.8)
  15:        185277        4446648  java.util.ArrayList (java.base@21.0.8)
  16:         34830        3622320  java.lang.management.ThreadInfo (java.management@21.0.8)
  17:         93372        2987904  com.google.common.collect.MapMakerInternalMap$WeakKeyDummyValueEntry
  18:         74565        2954832  [Ljava.lang.String; (java.base@21.0.8)
  19:         45202        2892928  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap
  20:           579        2379200  [D (java.base@21.0.8)
  21:         74244        2375808  org.languagetool.AnalyzedToken
  22:         12869        2264944  org.languagetool.tagging.disambiguation.rules.DisambiguationPatternRule
  23:         46758        2244384  java.lang.invoke.MemberName (java.base@21.0.8)
  24:         68950        2206400  org.languagetool.rules.patterns.PatternToken
  25:         34900        2040024  [Ljava.lang.StackTraceElement; (java.base@21.0.8)
  26:          3515        2009488  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.8)
  27:         45064        1442048  org.jetbrains.completion.full.line.local.tokenizer.TokenizerTrie$TrieNode
  28:         21477        1374528  java.util.LinkedHashMap (java.base@21.0.8)
  29:         14899        1311112  java.lang.reflect.Method (java.base@21.0.8)
  30:         14704        1293952  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
  31:         25950        1245600  java.util.HashMap (java.base@21.0.8)
  32:         30406        1216240  java.lang.invoke.MethodType (java.base@21.0.8)
  33:         27914        1116560  com.intellij.util.lang.ImmutableZipEntry
  34:          6156         984960  org.languagetool.rules.patterns.PatternRule
  35:         15235         975040  it.unimi.dsi.fastutil.objects.Object2IntOpenHashMap
  36:         30408         973056  jdk.internal.util.WeakReferenceKey (java.base@21.0.8)
  37:         39967         959208  org.languagetool.rules.patterns.AbstractTokenBasedRule$TokenHint
  38:         22877         915080  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
  39:         22478         899120  com.google.common.collect.MapMakerInternalMap$WeakKeyDummyValueEntry$LinkedWeakKeyDummyValueEntry
  40:           178         876120  [[I (java.base@21.0.8)
  41:         11854         853488  java.lang.reflect.Field (java.base@21.0.8)
  42:         29495         851960  [Ljava.lang.Class; (java.base@21.0.8)
  43:         20012         800480  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.8)
  44:         47228         755648  java.lang.Object (java.base@21.0.8)
  45:         11497         735808  java.util.concurrent.ConcurrentHashMap (java.base@21.0.8)
  46:          2792         730232  [Z (java.base@21.0.8)
  47:         45075         721200  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap$MapEntrySet
  48:         30031         720744  java.lang.invoke.ResolvedMethodName (java.base@21.0.8)
  49:          3760         714928  [S (java.base@21.0.8)
  50:         22272         712704  ai.grazie.nlp.patterns.AhoCorasickPattern$TrieNode
  51:         16771         670840  java.lang.ref.SoftReference (java.base@21.0.8)
  52:         16603         664120  java.lang.invoke.DirectMethodHandle (java.base@21.0.8)
  53:         26953         646872  ai.grazie.rules.common.KnownPhrases$Phrase
  54:         19642         628544  com.intellij.util.xml.dom.XmlElement
  55:         19604         627328  java.lang.ref.WeakReference (java.base@21.0.8)
  56:         11765         564720  [Ljava.lang.CharSequence; (java.base@21.0.8)
  57:         22877         549048  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
  58:         30641         490256  java.lang.Integer (java.base@21.0.8)
  59:         18283         484304  [Lorg.languagetool.rules.patterns.AbstractTokenBasedRule$TokenHint;
  60:          9516         456768  org.languagetool.rules.patterns.PatternToken$RareFields
  61:          9405         451440  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.8)
  62:         11001         440040  com.intellij.openapi.extensions.ExtensionDescriptor
  63:         18216         437184  kotlin.Pair
  64:         10808         432320  java.util.WeakHashMap$Entry (java.base@21.0.8)
  65:          7311         409416  org.languagetool.rules.patterns.Match
  66:         16585         398040  ai.grazie.detector.utils.collections.array.OneOptimizedFloatArray
  67:         16390         393360  it.unimi.dsi.fastutil.ints.IntArrayList
  68:         16266         390384  org.jetbrains.completion.full.line.local.tokenizer.BPERule
  69:         16264         390336  org.jetbrains.plugins.textmate.language.syntax.SyntaxNodeDescriptorImpl
  70:         15687         376488  kotlin.coroutines.CombinedContext
